057770930,20915353,7837,
087770706,29602722,5526,
097770592,60666044,5587,
077770392,29343913,5178,
077770978,96041882,7195,
027770216,34130593,9651,
117770540,73946405,7846,
057770299,87248393,3510,
027770313,17921101,4660,
117770249,31086035,6210,
047770694,84364089,5974,
087770531,54842599,6168,
047770526,21766093,7455,
117770838,54692105,3435,
117770058,96993998,6216,
047770270,47150858,8797,
097770851,70146635,2249,
117770537,78100819,4439,
117770362,88453873,9694,
127770970,69336540,5152,
027770164,92836208,4308,
017770682,67139477,1945,
077770703,98949924,8107,
097770657,72304080,5124,
057770927,81095513,7925,
037770057,61086539,3304,
067770195,14068407,3973,
057770574,87932463,7383,
087770696,98759266,6640,
047770238,47282483,3882,
087770094,59385187,9872,
127770103,96785274,3603,
047770076,21119404,3358,
057770927,76280197,1352,
087770133,63481022,1077,
107770233,35052599,4949,
117770087,24748283,1658,
027770517,34440128,3073,
057770312,51526737,2087,
097770945,53026484,1706,
087770476,63892983,9296,
037770675,63380974,7949,
027770478,54590090,9214,
017770598,30579378,2318,
037770918,95415985,5885,
067770577,98600904,6563,
077770622,64540917,4881,
057770257,69233957,2581,
037770400,67206889,6518,
067770522,79579067,5525,
027770106,41680599,9905,
067770991,98657274,6266,
087770719,99004114,6788,
087770492,68533221,4120,
127770815,50758454,4745,
097770291,83299883,2807,
107770916,18328994,8344,
057770736,26125228,7967,
027770371,80087784,4406,
047770458,42791694,1205,
127770213,63145436,6249,
017770831,87242519,2561,
027770342,50237357,3172,
127770530,65308420,4534,
067770441,41537053,1742,
057770008,84603818,2707,
097770165,80913764,1296,
077770305,63980455,6119,
127770789,63477735,1196,
107770534,89500880,8635,
117770922,32803301,4452,
057770176,72427242,5939,
117770281,51217486,4660,
017770695,68246000,8617,
087770609,21410747,8899,
017770213,31396563,5246,
017770530,90188754,6108,
027770711,26693378,2317,
087770777,41389609,7529,
077770279,66352556,4895,
047770555,88153186,2828,
037770727,38980862,4770,
077770664,37045203,4129,
067770276,47611818,3959,
127770705,44768421,3127,
037770303,46929734,2347,
127770912,80117528,7187,
087770748,14540446,8872,
057770765,99289243,9800,
077770907,43471515,3408,
047770678,22594523,4393,
067770234,72508747,1434,
027770960,39879587,5874,
107770916,53263153,8713,
037770439,16114197,3915,
027770795,12208984,5278,
017770970,62369349,4577,
027770041,61118863,2103,
037770167,31904036,6529,
127770132,61874275,2227,
